epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82342,2.18365,3.4967,2.34643,0.58936,0.15626,0.27777,0.08379,2.15743,3.021,2.25663,0.00026,0.00026,0.00026
2,20.6477,1.95479,2.96161,2.14946,0.00907,0.26087,0.00786,0.00217,2.78185,inf,5.14503,0.000538664,0.000538664,0.000538664
3,31.7093,2.10753,2.57514,2.2493,0.00431,0.58696,0.00395,0.00196,nan,nan,nan,0.000815941,0.000815941,0.000815941
4,42.4909,2.09803,2.44748,2.27571,0.00431,0.58696,0.00395,0.00196,nan,nan,nan,0.00109183,0.00109183,0.00109183
5,53.2508,2.04586,2.51216,2.25986,0.00431,0.58696,0.00395,0.00196,nan,nan,nan,0.00136634,0.00136634,0.00136634
6,64.0065,2.20994,2.58244,2.51083,0.00431,0.58696,0.00395,0.00196,nan,nan,nan,0.00163946,0.00163946,0.00163946
7,74.6218,2.15137,2.43995,2.36416,0.00431,0.58696,0.00395,0.00196,nan,nan,nan,0.00191119,0.00191119,0.00191119
8,85.3256,2.13879,2.51535,2.33692,0.00179,0.02174,0.00098,0.0001,nan,nan,nan,0.00196535,0.00196535,0.00196535
9,95.9823,2.02574,2.39537,2.29457,0.00179,0.02174,0.00098,0.0001,nan,nan,nan,0.0019604,0.0019604,0.0019604
10,106.795,2.03118,2.3969,2.2698,0.00354,0.76087,0.00489,0.00238,3.25859,inf,265.731,0.00195545,0.00195545,0.00195545
11,117.466,2.09819,2.43582,2.30019,0.00521,0.02174,0.00088,0.00013,nan,nan,nan,0.0019505,0.0019505,0.0019505
12,128.256,2.02584,2.44492,2.28383,0.03378,0.1087,0.02262,0.00881,nan,nan,nan,0.00194555,0.00194555,0.00194555
13,139.033,1.92917,2.28258,2.17717,0.03378,0.1087,0.02262,0.00881,nan,nan,nan,0.0019406,0.0019406,0.0019406
14,149.858,2.00314,2.2798,2.21443,0.39277,0.02174,0.02957,0.01401,nan,nan,nan,0.00193565,0.00193565,0.00193565
15,160.498,1.96374,2.33134,2.16989,0.05042,0.04348,0.00626,0.00202,nan,nan,nan,0.0019307,0.0019307,0.0019307
16,171.22,1.96389,2.27633,2.19494,0.00188,0.06522,0.00123,0.00083,nan,nan,nan,0.00192575,0.00192575,0.00192575
17,181.874,1.96624,2.26076,2.17316,0.09108,0.02174,0.00469,0.00356,nan,nan,nan,0.0019208,0.0019208,0.0019208
18,192.667,1.89731,2.19014,2.15,0.0525,0.04348,0.00526,0.00203,3.15633,11.3778,4.03753,0.00191585,0.00191585,0.00191585
19,203.417,1.9737,2.21398,2.18572,0.08933,0.32609,0.03866,0.01967,2.45383,13.9162,4.04057,0.0019109,0.0019109,0.0019109
20,214.215,1.88045,2.17746,2.10358,0.56784,0.37138,0.36714,0.21171,1.93559,5.13822,2.20584,0.00190595,0.00190595,0.00190595
21,226.035,1.8516,2.08199,2.1079,0.59977,0.34783,0.37094,0.19242,1.63884,3.54604,1.9211,0.001901,0.001901,0.001901
22,236.771,1.81639,2.06071,2.06877,0.53598,0.47826,0.47762,0.22773,1.83259,3.24469,2.06808,0.00189605,0.00189605,0.00189605
23,248.53,1.78083,1.99775,2.02661,0.25519,0.23913,0.18036,0.11659,2.09827,2.17336,2.17479,0.0018911,0.0018911,0.0018911
24,259.246,1.83105,2.04165,2.08478,0.42641,0.08696,0.07795,0.05751,nan,nan,nan,0.00188615,0.00188615,0.00188615
25,269.974,1.78028,2.02006,2.03331,0.31223,0.32609,0.17998,0.10341,1.98107,3.52505,2.16552,0.0018812,0.0018812,0.0018812
26,280.794,1.85076,2.11091,2.10867,0.30771,0.54348,0.31313,0.20355,1.53117,6.48972,1.72838,0.00187625,0.00187625,0.00187625
27,291.61,1.80069,2.02341,2.0798,0.83807,0.65217,0.71149,0.4506,1.47754,3.24992,1.64141,0.0018713,0.0018713,0.0018713
28,303.479,1.77825,1.91918,2.02087,0.5616,0.34783,0.41328,0.2566,1.85202,2.70149,1.99784,0.00186635,0.00186635,0.00186635
29,314.235,1.85487,1.94256,2.09967,0.44708,0.3913,0.35799,0.13308,2.30967,2.50736,2.42232,0.0018614,0.0018614,0.0018614
30,325.035,1.7111,1.78239,1.98698,0.40415,0.61936,0.49692,0.29241,1.70657,2.40555,1.82656,0.00185645,0.00185645,0.00185645
31,335.723,1.77014,1.89838,2.03815,0.63982,0.65217,0.69614,0.34261,1.76087,2.47403,1.94018,0.0018515,0.0018515,0.0018515
32,346.632,1.76982,1.78322,1.9863,0.5828,0.65217,0.66141,0.4153,1.37038,2.00513,1.52649,0.00184655,0.00184655,0.00184655
33,357.409,1.75899,1.83082,2.01964,0.51404,0.58696,0.43233,0.20218,1.72523,2.13872,1.79375,0.0018416,0.0018416,0.0018416
34,368.24,1.7416,1.89471,1.96153,0.61838,0.63043,0.63162,0.35223,1.727,1.9372,1.86792,0.00183665,0.00183665,0.00183665
35,379.234,1.739,1.82566,1.97546,0.78416,0.73913,0.81368,0.52379,1.45351,1.64212,1.54756,0.0018317,0.0018317,0.0018317
36,391.141,1.71092,1.70638,1.94753,0.92062,0.63043,0.78432,0.48883,1.44521,1.67092,1.5777,0.00182675,0.00182675,0.00182675
37,401.916,1.75349,1.82338,1.98043,0.52449,0.58696,0.53592,0.32292,1.6438,2.3923,1.71417,0.0018218,0.0018218,0.0018218
38,412.796,1.70717,1.75385,1.99242,0.74291,0.6087,0.74164,0.36682,2.01897,2.71284,2.09589,0.00181685,0.00181685,0.00181685
39,423.512,1.65443,1.66067,1.93576,0.53426,0.52373,0.48131,0.28185,1.37507,2.20874,1.52481,0.0018119,0.0018119,0.0018119
40,434.349,1.67882,1.74921,1.97261,0.38671,0.30435,0.29031,0.15682,1.97311,3.5365,2.00767,0.00180695,0.00180695,0.00180695
41,445.031,1.7591,1.80209,2.00924,0.43699,0.28261,0.35045,0.20724,1.65664,6.23422,1.78277,0.001802,0.001802,0.001802
42,455.908,1.67409,1.76693,1.98209,0.71449,0.63043,0.61206,0.31861,1.7658,4.57005,1.78708,0.00179705,0.00179705,0.00179705
43,466.784,1.65037,1.70425,1.89418,0.4749,0.57023,0.50916,0.26182,1.68092,4.56171,1.74573,0.0017921,0.0017921,0.0017921
44,477.609,1.67975,1.69204,1.89876,0.61249,0.63043,0.6503,0.35654,1.5951,2.05894,1.70053,0.00178715,0.00178715,0.00178715
45,488.259,1.72118,1.764,1.97757,0.85035,0.69565,0.82567,0.48784,1.60961,1.26682,1.69925,0.0017822,0.0017822,0.0017822
46,499.143,1.66412,1.75498,1.93123,0.5814,0.57379,0.60634,0.34027,1.65773,2.83781,1.79531,0.00177725,0.00177725,0.00177725
47,509.848,1.64325,1.73037,1.87077,0.67147,0.78261,0.7912,0.4687,1.544,1.38646,1.71937,0.0017723,0.0017723,0.0017723
48,520.607,1.6915,1.76542,1.94435,0.69418,0.43478,0.58015,0.37994,1.61681,1.59487,1.7183,0.00176735,0.00176735,0.00176735
49,531.319,1.68327,1.68383,1.92973,0.84159,0.6087,0.71547,0.45025,1.60718,1.40513,1.70801,0.0017624,0.0017624,0.0017624
50,542.131,1.67581,1.65341,1.90298,0.43063,0.47826,0.41481,0.24416,1.9398,2.17098,2.02987,0.00175745,0.00175745,0.00175745
51,552.855,1.61203,1.56617,1.83315,0.8194,0.54348,0.65504,0.44081,1.49648,1.47576,1.57872,0.0017525,0.0017525,0.0017525
52,563.645,1.62382,1.60329,1.89884,0.89585,0.58696,0.77474,0.49249,1.53587,1.46555,1.6429,0.00174755,0.00174755,0.00174755
53,574.388,1.63352,1.56392,1.92241,0.6201,0.6087,0.65705,0.40151,1.66589,1.84062,1.78998,0.0017426,0.0017426,0.0017426
54,585.169,1.60326,1.56467,1.86499,0.75644,0.60766,0.68435,0.33436,1.98355,2.0485,1.98147,0.00173765,0.00173765,0.00173765
55,595.887,1.69191,1.59316,1.92804,0.77443,0.6087,0.6696,0.3352,2.10111,1.68341,2.12844,0.0017327,0.0017327,0.0017327
56,606.658,1.66576,1.64869,1.93987,0.75135,0.65697,0.75672,0.45027,1.50694,1.35078,1.59349,0.00172775,0.00172775,0.00172775
57,617.408,1.56359,1.53629,1.81434,0.76889,0.57873,0.69533,0.42549,1.72786,1.53579,1.76077,0.0017228,0.0017228,0.0017228
58,628.211,1.54212,1.50664,1.84715,0.84237,0.81335,0.90185,0.55646,1.61976,1.05908,1.69296,0.00171785,0.00171785,0.00171785
59,640.016,1.5866,1.53386,1.86099,0.90621,0.84026,0.89585,0.53606,1.67679,1.19719,1.6819,0.0017129,0.0017129,0.0017129
60,650.856,1.63828,1.48069,1.85977,0.81546,0.76861,0.82698,0.53767,1.46258,2.59717,1.51084,0.00170795,0.00170795,0.00170795
61,661.62,1.56203,1.49504,1.82433,0.89716,0.75865,0.8298,0.48773,1.67879,1.63656,1.73592,0.001703,0.001703,0.001703
62,672.385,1.55531,1.46766,1.81343,0.74467,0.32609,0.33553,0.18455,2.23454,2.49391,2.38803,0.00169805,0.00169805,0.00169805
63,683.136,1.60293,1.48111,1.85805,0.5845,0.65217,0.63158,0.37064,1.62952,2.07746,1.82069,0.0016931,0.0016931,0.0016931
64,693.836,1.57762,1.51655,1.85914,0.29757,0.30435,0.22515,0.10299,2.29563,2.48476,2.49071,0.00168815,0.00168815,0.00168815
65,704.542,1.54093,1.48808,1.8339,0.90721,0.73913,0.89456,0.53261,1.54649,1.06986,1.64102,0.0016832,0.0016832,0.0016832
66,715.325,1.46887,1.40651,1.75558,0.74826,0.76087,0.82561,0.48826,1.59424,1.15556,1.68799,0.00167825,0.00167825,0.00167825
67,726.069,1.53405,1.48108,1.84115,0.78843,0.69565,0.75179,0.3647,1.88144,1.40225,1.9882,0.0016733,0.0016733,0.0016733
68,736.881,1.55184,1.43732,1.81865,0.89322,0.72757,0.89278,0.58206,1.3972,1.13681,1.46655,0.00166835,0.00166835,0.00166835
69,748.65,1.48377,1.42401,1.78202,0.78107,0.93076,0.91786,0.44266,1.83936,1.33899,1.83199,0.0016634,0.0016634,0.0016634
70,759.518,1.50289,1.37791,1.78876,0.98469,0.80435,0.94205,0.64674,1.31211,1.06998,1.43784,0.00165845,0.00165845,0.00165845
71,771.306,1.58606,1.42506,1.83775,0.85211,0.75167,0.80765,0.57423,1.30864,1.25829,1.46711,0.0016535,0.0016535,0.0016535
72,782.064,1.60336,1.50027,1.84824,0.85031,0.74098,0.84866,0.61264,1.26985,1.12539,1.41885,0.00164855,0.00164855,0.00164855
73,792.878,1.47923,1.40643,1.80874,0.80961,0.82609,0.876,0.58501,1.21245,1.40364,1.40387,0.0016436,0.0016436,0.0016436
74,803.614,1.55749,1.48151,1.84853,0.77576,0.71739,0.83771,0.47703,1.6793,1.66389,1.76929,0.00163865,0.00163865,0.00163865
75,814.479,1.56305,1.45494,1.82725,0.87103,0.73419,0.84772,0.49634,1.59984,1.34659,1.67972,0.0016337,0.0016337,0.0016337
76,825.496,1.42578,1.26748,1.71042,0.94805,0.80435,0.9193,0.6261,1.32989,1.6104,1.42849,0.00162875,0.00162875,0.00162875
77,836.317,1.43672,1.28526,1.74298,0.92412,0.79437,0.92357,0.59511,1.47383,1.16201,1.56674,0.0016238,0.0016238,0.0016238
78,847.096,1.50157,1.38359,1.74076,0.77977,0.73913,0.79801,0.48188,1.76324,1.40576,1.76643,0.00161885,0.00161885,0.00161885
79,857.862,1.46246,1.28472,1.75778,0.92142,0.82609,0.92948,0.50461,1.85385,1.06288,1.82075,0.0016139,0.0016139,0.0016139
80,868.765,1.44068,1.31975,1.73517,0.93754,0.80435,0.93189,0.64758,1.41877,0.92063,1.5369,0.00160895,0.00160895,0.00160895
81,879.643,1.51148,1.3371,1.7746,0.82679,0.84783,0.92364,0.59773,1.56509,1.07467,1.68761,0.001604,0.001604,0.001604
82,890.417,1.44161,1.2875,1.72562,0.84268,0.81524,0.87415,0.56708,1.43201,1.03872,1.53406,0.00159905,0.00159905,0.00159905
83,901.312,1.51103,1.27712,1.74826,0.87282,0.76087,0.88104,0.54696,1.61161,0.99342,1.63667,0.0015941,0.0015941,0.0015941
84,912.076,1.43583,1.35554,1.74346,0.88718,0.65217,0.80167,0.45722,1.76067,1.32362,1.74815,0.00158915,0.00158915,0.00158915
85,922.759,1.46476,1.36413,1.72975,0.8609,0.78261,0.89998,0.55402,1.53396,1.12873,1.57876,0.0015842,0.0015842,0.0015842
86,933.515,1.42068,1.2553,1.72592,0.90825,0.86091,0.93336,0.57725,1.57668,0.89215,1.62769,0.00157925,0.00157925,0.00157925
87,944.226,1.49476,1.35338,1.7694,0.97551,0.86588,0.96026,0.57622,1.5372,0.92253,1.66374,0.0015743,0.0015743,0.0015743
88,955.005,1.43792,1.2555,1.72293,0.78852,0.91304,0.90102,0.59479,1.36634,1.12135,1.48873,0.00156935,0.00156935,0.00156935
89,965.743,1.48081,1.26632,1.77861,0.85266,0.8913,0.93055,0.52236,1.80179,1.05629,1.76205,0.0015644,0.0015644,0.0015644
90,976.574,1.40574,1.2445,1.7008,0.90018,0.78421,0.90356,0.65986,1.1765,0.95732,1.35262,0.00155945,0.00155945,0.00155945
91,988.445,1.41037,1.23215,1.72702,0.70809,0.79109,0.79168,0.46905,1.60464,1.53664,1.72066,0.0015545,0.0015545,0.0015545
92,999.227,1.50663,1.32456,1.81117,0.86236,0.78261,0.86463,0.57171,1.52635,1.18551,1.66827,0.00154955,0.00154955,0.00154955
93,1009.99,1.49676,1.30658,1.81077,0.84351,0.70321,0.78672,0.54347,1.41336,1.39405,1.50873,0.0015446,0.0015446,0.0015446
94,1020.88,1.48434,1.43262,1.78133,0.93715,0.82609,0.94263,0.66212,1.27898,0.97281,1.36377,0.00153965,0.00153965,0.00153965
95,1032.76,1.42266,1.25288,1.69915,0.86727,0.85237,0.93341,0.61987,1.35212,1.17551,1.46332,0.0015347,0.0015347,0.0015347
96,1043.64,1.4564,1.27581,1.75473,0.91225,0.76087,0.89315,0.56119,1.48702,1.22336,1.61656,0.00152975,0.00152975,0.00152975
97,1054.56,1.33286,1.16449,1.64364,1,0.84193,0.94191,0.66156,1.29206,0.91843,1.3901,0.0015248,0.0015248,0.0015248
98,1065.36,1.48342,1.30102,1.77016,0.7947,0.8913,0.9049,0.58004,1.36423,1.0326,1.4536,0.00151985,0.00151985,0.00151985
99,1076.13,1.35913,1.19805,1.63949,0.7429,0.73913,0.82801,0.55674,1.28085,1.13991,1.49885,0.0015149,0.0015149,0.0015149
100,1086.94,1.41691,1.26566,1.71204,0.91295,0.91304,0.94101,0.61394,1.43447,0.83834,1.54914,0.00150995,0.00150995,0.00150995
101,1097.66,1.4805,1.33399,1.71548,0.8639,0.8913,0.92321,0.6518,1.31998,1.00117,1.47395,0.001505,0.001505,0.001505
102,1108.42,1.43182,1.2691,1.71884,0.90844,0.86957,0.92712,0.59708,1.54411,0.89941,1.58829,0.00150005,0.00150005,0.00150005
103,1119.16,1.43113,1.2652,1.69221,0.91006,0.8913,0.93384,0.59705,1.54481,0.83007,1.62299,0.0014951,0.0014951,0.0014951
104,1130,1.3992,1.22779,1.71577,0.90876,0.91304,0.94693,0.56009,1.68217,0.84462,1.75505,0.00149015,0.00149015,0.00149015
105,1140.77,1.38646,1.17142,1.67559,0.93963,0.91304,0.9635,0.63488,1.41961,0.7719,1.52866,0.0014852,0.0014852,0.0014852
106,1151.59,1.37063,1.10963,1.66687,0.91562,0.70781,0.81238,0.53044,1.5346,1.29586,1.67189,0.00148025,0.00148025,0.00148025
107,1162.5,1.42702,1.18638,1.6954,0.88137,0.73913,0.84231,0.52791,1.62693,1.36909,1.72432,0.0014753,0.0014753,0.0014753
108,1173.52,1.4234,1.26612,1.70671,0.94995,0.8913,0.95104,0.66371,1.19836,0.92879,1.36259,0.00147035,0.00147035,0.00147035
109,1185.36,1.39778,1.19128,1.69171,0.95782,0.78261,0.90476,0.64867,1.1747,0.89122,1.31507,0.0014654,0.0014654,0.0014654
110,1196.17,1.39266,1.20919,1.64854,0.85525,0.89925,0.95952,0.73404,1.04605,0.80855,1.2084,0.00146045,0.00146045,0.00146045
111,1207.92,1.37966,1.21032,1.6874,0.92954,0.91304,0.96868,0.69567,1.1916,0.80419,1.28837,0.0014555,0.0014555,0.0014555
112,1218.76,1.43203,1.25169,1.68759,0.98657,0.84783,0.96024,0.63449,1.29035,1.03838,1.41093,0.00145055,0.00145055,0.00145055
113,1229.49,1.35927,1.16757,1.65949,0.97543,0.86333,0.96512,0.69289,1.13384,0.77241,1.2631,0.0014456,0.0014456,0.0014456
114,1240.28,1.32864,1.13853,1.63143,0.98895,0.86957,0.95216,0.70465,1.12816,0.87191,1.24362,0.00144065,0.00144065,0.00144065
115,1250.98,1.35574,1.12304,1.62236,0.92976,0.86957,0.93071,0.65303,1.24264,0.89801,1.34026,0.0014357,0.0014357,0.0014357
116,1261.81,1.3426,1.12103,1.61556,0.90157,0.84783,0.94659,0.63621,1.30214,0.77388,1.39011,0.00143075,0.00143075,0.00143075
117,1272.53,1.31755,1.0483,1.63354,0.90884,0.86957,0.93714,0.53399,1.60299,0.85505,1.62464,0.0014258,0.0014258,0.0014258
118,1283.32,1.37647,1.16941,1.64037,0.8091,0.92145,0.92188,0.60452,1.32272,1.05011,1.41817,0.00142085,0.00142085,0.00142085
119,1294.04,1.33546,1.09305,1.60085,0.88946,0.87468,0.95187,0.61128,1.4079,0.84375,1.47663,0.0014159,0.0014159,0.0014159
120,1304.82,1.34579,1.08941,1.63757,0.97554,0.867,0.96647,0.65176,1.41699,0.77891,1.45168,0.00141095,0.00141095,0.00141095
121,1315.52,1.26441,1.10345,1.56032,0.97541,0.8624,0.96568,0.67956,1.34398,0.74859,1.39868,0.001406,0.001406,0.001406
122,1326.27,1.26362,1.04552,1.58834,0.97359,0.8014,0.95194,0.69698,1.18847,0.75929,1.31953,0.00140105,0.00140105,0.00140105
123,1337.04,1.28629,1.09744,1.55411,0.92833,0.84783,0.9452,0.70147,1.10716,0.73656,1.26312,0.0013961,0.0013961,0.0013961
124,1347.81,1.28972,1.09403,1.59496,1,0.86643,0.96702,0.72211,1.07252,0.63051,1.22135,0.00139115,0.00139115,0.00139115
125,1358.51,1.31025,1.12665,1.62042,0.93422,0.92638,0.97097,0.64522,1.26546,0.70238,1.35681,0.0013862,0.0013862,0.0013862
126,1369.29,1.32459,1.14761,1.65353,0.94424,0.86957,0.91311,0.64967,1.26138,0.77703,1.39037,0.00138125,0.00138125,0.00138125
127,1380.06,1.3552,1.19062,1.69109,0.952,0.86235,0.94511,0.69308,1.24781,0.75636,1.37704,0.0013763,0.0013763,0.0013763
128,1391.02,1.37217,1.16175,1.66527,1,0.88749,0.94721,0.68651,1.267,0.78232,1.39065,0.00137135,0.00137135,0.00137135
129,1401.78,1.3733,1.16712,1.67684,0.98698,0.8913,0.94679,0.67459,1.2887,0.86844,1.43088,0.0013664,0.0013664,0.0013664
130,1412.61,1.32656,1.12817,1.61987,0.95288,0.87927,0.94675,0.67025,1.19088,0.77483,1.33311,0.00136145,0.00136145,0.00136145
131,1423.35,1.27975,1.07462,1.57635,0.97619,0.89134,0.97462,0.69295,1.20045,0.71001,1.30472,0.0013565,0.0013565,0.0013565
132,1434.2,1.30464,1.12365,1.57443,0.97588,0.87986,0.96016,0.66758,1.24436,0.84327,1.37921,0.00135155,0.00135155,0.00135155
133,1444.94,1.33611,1.12421,1.62445,0.98546,0.8913,0.94009,0.67781,1.18299,0.93097,1.37341,0.0013466,0.0013466,0.0013466
